time [s],yaw [rad],pitch [rad],roll [rad]
7236,4.47E-05,-1.32E-05,-2.96E-10
7237,-8.20E-06,5.28E-06,-2.17E-11
7238,-2.01E-05,1.03E-05,-1.03E-10
7239,1.00E-05,-2.35E-05,-1.17E-10
7240,-1.07E-05,3.22E-06,-1.73E-11
7241,-3.14E-06,-4.15E-06,6.51E-12
7242,1.09E-05,8.67E-06,4.74E-11
7243,-1.31E-05,-7.93E-06,5.20E-11
7244,1.67E-05,-3.18E-06,-2.65E-11
7245,2.88E-05,6.85E-06,9.86E-11
7246,1.35E-05,-1.03E-05,-6.95E-11
7247,1.66E-05,6.70E-06,5.55E-11
7248,7.68E-06,-1.87E-05,-7.18E-11
7249,3.94E-05,1.83E-05,3.61E-10
7250,2.38E-06,-2.04E-05,-2.44E-11
7251,-2.71E-05,5.17E-06,-7.00E-11
7252,-2.94E-05,-9.26E-06,1.36E-10
7253,7.59E-06,-4.86E-06,-1.84E-11
7254,5.94E-06,-1.23E-05,-3.65E-11
7255,1.67E-05,6.15E-06,5.14E-11
7256,-5.03E-06,-1.03E-05,2.58E-11
7257,1.61E-06,1.28E-05,1.03E-11
7258,-2.00E-06,-3.99E-06,4.00E-12
7259,-1.44E-05,-7.69E-06,5.55E-11
7260,8.82E-06,-1.13E-05,-4.98E-11
7261,-1.92E-06,2.56E-05,-2.46E-11
7262,-8.56E-06,1.20E-05,-5.14E-11
7263,-5.73E-06,-1.07E-05,3.06E-11
7264,-7.52E-06,-6.76E-07,2.54E-12
7265,3.16E-05,1.27E-05,2.01E-10
7266,9.21E-06,8.79E-06,4.05E-11
7267,-1.38E-05,1.40E-05,-9.65E-11
7268,5.93E-06,-5.26E-07,-1.56E-12
7269,3.38E-06,1.68E-05,2.84E-11
7270,-2.41E-06,-2.03E-05,2.45E-11
7271,-1.25E-05,-2.51E-06,1.57E-11
7272,3.47E-05,-1.35E-05,-2.34E-10
7273,-1.39E-05,-3.02E-07,2.11E-12
7274,-5.14E-06,2.25E-06,-5.77E-12
7275,-1.73E-05,-3.19E-05,2.76E-10
7276,1.38E-07,-1.06E-05,-7.30E-13
7277,-6.45E-06,3.09E-06,-9.96E-12
7278,2.21E-06,8.25E-06,9.13E-12
7279,5.58E-06,-1.98E-07,-5.53E-13
7280,4.69E-06,2.07E-06,4.86E-12
7281,1.62E-05,4.36E-07,3.52E-12
7282,-7.09E-06,-6.46E-06,2.29E-11
7283,-1.13E-05,-7.31E-06,4.12E-11
7284,-3.13E-05,-2.37E-06,3.71E-11
7285,6.07E-06,1.71E-07,5.19E-13
7286,-1.76E-05,-2.03E-06,1.78E-11
7287,-2.58E-05,-8.52E-07,1.10E-11
7288,-3.88E-06,2.97E-06,-5.76E-12
7289,1.18E-05,-1.77E-06,-1.05E-11
7290,-5.45E-05,-1.88E-06,5.13E-11
7291,-2.89E-06,6.91E-06,-9.98E-12
7292,5.48E-06,2.29E-05,6.29E-11
7293,9.97E-06,1.28E-05,6.38E-11
7294,2.48E-06,-9.36E-06,-1.16E-11
7295,-1.76E-06,-2.49E-06,2.19E-12
7296,2.01E-05,7.21E-06,7.24E-11
7297,-2.74E-06,4.81E-06,-6.58E-12
7298,3.22E-05,-6.50E-06,-1.05E-10
7299,-9.46E-06,1.38E-05,-6.53E-11
7300,-3.41E-05,-1.46E-05,2.50E-10
7301,9.56E-06,-1.40E-05,-6.71E-11
7302,1.09E-05,1.05E-05,5.69E-11
7303,-1.80E-05,7.24E-06,-6.53E-11
7304,1.51E-05,-1.19E-05,-9.01E-11
7305,-4.79E-05,-1.07E-06,2.57E-11
7306,3.75E-05,3.49E-06,6.53E-11
7307,-1.57E-05,2.53E-05,-1.99E-10
7308,-1.53E-06,-1.36E-05,1.04E-11
7309,6.02E-06,1.05E-05,3.16E-11
7310,6.58E-06,-2.25E-05,-7.39E-11
7311,2.02E-06,-8.20E-07,-8.28E-13
7312,-4.11E-05,7.52E-06,-1.55E-10
7313,-2.66E-05,-4.66E-07,6.19E-12
7314,1.54E-05,4.58E-06,3.54E-11
7315,1.58E-05,-1.60E-05,-1.27E-10
7316,1.01E-05,3.72E-06,1.88E-11
7317,-1.55E-05,-4.11E-06,3.19E-11
7318,-3.13E-05,-1.32E-05,2.06E-10
7319,-1.35E-05,5.97E-07,-4.02E-12
7320,6.22E-05,5.01E-06,1.56E-10
7321,-1.88E-05,1.89E-05,-1.78E-10
7322,-3.33E-06,-9.61E-06,1.60E-11
7323,-5.59E-06,-4.21E-06,1.18E-11
7324,-7.80E-06,2.47E-06,-9.64E-12
7325,7.19E-07,-5.07E-06,-1.82E-12
7326,4.02E-07,2.02E-05,4.05E-12
7327,1.95E-06,-1.07E-05,-1.04E-11
7328,-5.07E-05,2.32E-05,-5.88E-10
7329,1.54E-05,-1.01E-06,-7.76E-12
7330,-1.08E-05,-2.19E-05,1.18E-10
7331,9.08E-06,3.49E-06,1.58E-11
7332,2.65E-05,4.57E-06,6.05E-11
7333,9.90E-06,-2.19E-05,-1.08E-10
7334,-9.19E-06,-2.64E-06,1.21E-11
7335,-2.55E-06,1.82E-05,-2.32E-11
7336,-3.59E-05,5.33E-07,-9.57E-12
7337,2.96E-05,8.59E-06,1.27E-10
7338,2.08E-05,-9.94E-06,-1.03E-10
7339,1.55E-05,-4.44E-06,-3.44E-11
7340,-1.57E-05,-1.87E-05,1.47E-10
7341,9.42E-07,-7.55E-06,-3.56E-12
7342,1.15E-05,-1.82E-06,-1.05E-11
7343,4.27E-05,-1.23E-05,-2.63E-10
7344,2.44E-05,6.29E-06,7.68E-11
7345,-1.06E-05,2.02E-05,-1.07E-10
7346,-6.71E-06,-1.19E-05,3.98E-11
7347,3.90E-07,8.06E-07,1.57E-13
7348,1.56E-06,9.75E-06,7.62E-12
7349,1.51E-06,5.38E-06,4.06E-12
7350,-1.88E-06,6.29E-06,-5.91E-12
7351,1.04E-05,-7.56E-06,-3.93E-11
7352,5.02E-06,2.67E-06,6.69E-12
7353,-3.98E-06,-1.88E-06,3.74E-12
7354,9.57E-06,-8.41E-08,-4.02E-13
7355,-9.08E-06,-1.53E-06,6.96E-12
7356,-5.72E-06,-1.09E-05,3.13E-11
7357,-2.70E-06,-1.97E-06,2.65E-12
7358,9.48E-06,2.37E-06,1.12E-11
7359,-6.89E-06,2.37E-05,-8.18E-11
7360,-4.80E-08,-1.34E-05,3.21E-13
7361,1.97E-05,4.42E-06,4.35E-11
7362,-3.44E-06,-5.27E-07,9.06E-13
7363,-9.77E-06,1.52E-05,-7.44E-11
7364,-1.13E-05,-1.03E-05,5.78E-11
7365,1.49E-05,-1.14E-05,-8.49E-11
7366,-8.42E-06,7.48E-06,-3.15E-11
7367,-9.43E-06,-2.27E-06,1.07E-11
7368,1.80E-05,4.00E-06,3.60E-11
7369,-9.12E-06,1.12E-05,-5.10E-11
7370,-5.53E-06,-9.36E-06,2.59E-11
7371,-2.04E-05,1.08E-05,-1.11E-10
7372,-9.23E-06,4.90E-07,-2.26E-12
7373,-1.90E-05,1.07E-05,-1.02E-10
7374,-7.05E-06,-3.79E-06,1.34E-11
7375,-1.89E-06,-4.33E-06,4.09E-12
7376,2.79E-05,1.14E-05,1.60E-10
7377,5.74E-06,-2.09E-05,-6.01E-11
7378,4.33E-06,3.65E-05,7.89E-11
7379,1.13E-07,2.46E-06,1.39E-13
7380,-2.10E-05,9.67E-06,-1.02E-10
7381,-1.36E-06,-3.27E-06,2.22E-12
7382,4.33E-06,-2.35E-05,-5.08E-11
7383,-2.81E-05,1.68E-06,-2.36E-11
7384,9.12E-06,1.70E-05,7.75E-11
7385,-1.04E-06,8.31E-06,-4.32E-12
7386,-1.53E-05,4.95E-06,-3.78E-11
7387,9.30E-06,-7.80E-06,-3.63E-11
7388,1.70E-05,7.77E-06,6.62E-11
7389,1.87E-05,-4.48E-06,-4.18E-11
7390,7.42E-06,2.29E-06,8.49E-12
7391,-1.42E-05,1.10E-05,-7.80E-11
7392,-8.72E-06,-2.26E-05,9.85E-11
7393,-2.86E-05,1.11E-05,-1.59E-10
7394,2.03E-05,-1.68E-05,-1.71E-10
7395,6.78E-06,8.96E-06,3.04E-11
7396,-8.84E-06,-2.13E-06,9.43E-12
7397,1.10E-06,-1.05E-05,-5.79E-12
7398,-8.65E-06,-1.13E-06,4.89E-12
7399,-2.50E-05,-1.64E-05,2.05E-10
7400,1.10E-05,-1.33E-05,-7.33E-11
7401,-8.72E-06,6.10E-06,-2.66E-11
7402,-2.28E-05,8.23E-06,-9.39E-11
7403,7.31E-06,3.20E-06,1.17E-11
7404,-7.12E-05,8.41E-06,-3.00E-10
7405,6.23E-05,1.07E-05,3.35E-10
7406,9.64E-06,5.28E-06,2.55E-11
7407,-7.65E-06,2.86E-06,-1.10E-11
7408,9.57E-06,3.63E-06,1.73E-11
7409,-1.07E-06,-7.79E-06,4.16E-12
7410,3.89E-05,-3.28E-07,-6.38E-12
7411,-2.55E-05,1.76E-05,-2.24E-10
7412,3.98E-06,-1.60E-05,-3.18E-11
7413,2.54E-06,-1.75E-06,-2.22E-12
7414,-2.32E-06,-3.75E-06,4.35E-12
7415,-1.04E-05,3.67E-05,-1.90E-10
7416,-2.61E-06,-4.76E-06,6.21E-12
7417,-9.63E-06,-2.62E-05,1.26E-10
7418,2.73E-05,-1.39E-05,-1.90E-10
7419,7.54E-06,-1.45E-05,-5.47E-11
7420,6.62E-06,2.01E-05,6.67E-11
7421,5.84E-06,-3.57E-06,-1.04E-11
7422,-2.29E-05,6.28E-06,-7.18E-11
7423,-5.72E-06,1.46E-05,-4.18E-11
7424,-4.76E-06,-2.05E-05,4.89E-11
7425,6.30E-06,2.15E-05,6.77E-11
7426,-1.64E-05,-6.80E-06,5.56E-11
7427,2.67E-06,3.10E-06,4.15E-12
7428,1.12E-05,1.50E-05,8.37E-11
7429,-5.84E-06,-1.60E-06,4.68E-12
7430,9.37E-07,2.10E-05,9.86E-12
7431,4.08E-06,2.06E-06,4.21E-12
7432,4.20E-06,7.98E-06,1.68E-11
7433,-2.91E-05,2.24E-06,-3.25E-11
7434,6.69E-06,-5.69E-06,-1.90E-11
7435,8.83E-06,-1.09E-05,-4.82E-11
7436,3.34E-06,-1.40E-05,-2.34E-11
7437,-1.24E-05,-1.18E-05,7.31E-11
7438,-7.73E-06,6.91E-06,-2.67E-11
7439,7.66E-06,2.73E-06,1.05E-11
7440,-4.10E-06,-3.81E-06,7.80E-12
7441,4.13E-05,-1.48E-05,-3.07E-10
7442,-9.37E-06,-4.66E-06,2.18E-11
7443,-2.23E-06,9.19E-06,-1.02E-11
7444,2.01E-06,2.60E-05,2.61E-11
7445,-3.85E-05,-1.43E-06,2.76E-11
7446,-1.51E-05,1.21E-05,-9.11E-11
7447,1.16E-05,-6.26E-06,-3.64E-11
7448,-2.68E-05,1.66E-05,-2.22E-10
7449,6.25E-06,6.73E-06,2.10E-11
7450,7.44E-06,-4.64E-06,-1.73E-11
7451,-2.12E-05,-7.33E-07,7.77E-12
7452,8.94E-06,-3.39E-07,-1.52E-12
7453,9.30E-06,6.72E-06,3.13E-11
7454,4.48E-06,1.83E-05,4.09E-11
7455,1.46E-05,-1.43E-05,-1.04E-10
7456,-1.42E-05,1.74E-05,-1.23E-10
7457,2.02E-06,-4.03E-05,-4.06E-11
7458,1.33E-05,-5.46E-06,-3.63E-11
7459,-4.87E-06,-3.35E-06,8.16E-12
7460,-3.88E-06,-4.42E-06,8.58E-12
7461,2.73E-05,-7.55E-06,-1.03E-10
7462,-1.63E-05,-7.89E-06,6.42E-11
7463,1.09E-05,-9.81E-06,-5.36E-11
7464,-1.50E-06,-4.61E-06,3.46E-12
7465,2.21E-05,-8.10E-06,-8.94E-11
7466,-4.89E-05,1.01E-05,-2.47E-10
7467,3.04E-05,6.14E-07,9.35E-12
7468,1.19E-05,3.34E-06,1.99E-11
7469,-3.87E-05,-4.62E-07,8.94E-12
7470,-1.13E-07,1.15E-05,-6.50E-13
7471,3.64E-05,-2.44E-05,-4.45E-10
7472,1.16E-05,1.00E-05,5.80E-11
7473,-2.07E-05,-1.14E-05,1.18E-10
7474,6.71E-05,4.34E-06,1.46E-10
7475,-3.99E-05,-4.97E-06,9.90E-11
7476,-6.49E-06,2.51E-07,-8.14E-13
7477,-9.47E-07,-4.73E-06,2.24E-12
7478,-3.26E-07,5.19E-06,-8.47E-13
7479,7.41E-06,5.35E-06,1.98E-11
7480,-1.57E-05,-1.25E-05,9.85E-11
7481,-2.23E-05,6.87E-06,-7.65E-11
7482,9.23E-06,-1.60E-06,-7.38E-12
7483,-3.44E-05,6.34E-06,-1.09E-10
7484,-6.17E-07,9.41E-07,-2.90E-13
7485,-5.49E-07,-8.79E-06,2.41E-12
7486,-2.11E-05,1.55E-05,-1.63E-10
7487,-3.62E-05,-2.16E-06,3.91E-11
7488,7.06E-06,5.31E-06,1.88E-11
7489,-2.86E-06,-2.63E-05,3.77E-11
7490,-4.31E-06,3.32E-07,-7.15E-13
7491,8.02E-06,1.37E-05,5.50E-11
7492,-1.10E-05,-2.91E-06,1.59E-11
7493,-1.34E-05,9.88E-06,-6.63E-11
7494,1.05E-06,-2.04E-06,-1.07E-12
7495,-6.91E-06,1.88E-06,-6.50E-12
7496,1.59E-05,8.06E-06,6.39E-11
7497,5.58E-07,6.30E-07,1.76E-13
7498,-6.90E-06,3.09E-06,-1.07E-11
7499,1.14E-05,1.59E-05,9.08E-11
7500,-3.52E-05,1.79E-07,-3.14E-12
7501,-2.88E-05,1.80E-05,-2.59E-10
7502,3.68E-06,2.19E-06,4.03E-12
7503,2.43E-05,9.43E-06,1.15E-10
7504,4.84E-05,7.17E-06,1.73E-10
7505,9.02E-06,-4.33E-06,-1.95E-11
7506,2.77E-06,-1.96E-06,-2.71E-12
7507,3.98E-06,-1.33E-06,-2.66E-12
7508,-1.11E-05,2.15E-06,-1.19E-11
7509,-5.47E-06,3.00E-06,-8.19E-12
7510,-2.75E-05,-1.11E-06,1.52E-11
7511,-2.18E-06,-1.19E-05,1.30E-11
7512,9.29E-06,-4.52E-06,-2.10E-11
7513,6.84E-06,-3.82E-06,-1.31E-11
7514,-3.51E-05,5.91E-06,-1.04E-10
7515,3.17E-05,1.82E-05,2.89E-10
7516,3.42E-05,-1.90E-06,-3.25E-11
7517,-3.18E-05,-1.47E-05,2.34E-10
7518,4.28E-06,4.82E-05,1.03E-10
7519,-3.63E-05,-8.95E-06,1.63E-10
7520,3.72E-05,-1.59E-06,-2.96E-11
7521,-8.76E-06,3.47E-06,-1.52E-11
7522,-7.11E-06,1.18E-05,-4.18E-11
7523,2.01E-05,-5.56E-06,-5.58E-11
7524,1.98E-06,6.93E-06,6.86E-12
7525,1.40E-05,-4.54E-06,-3.19E-11
7526,1.57E-05,-1.59E-06,-1.25E-11
7527,3.02E-05,1.37E-05,2.06E-10
7528,3.01E-06,-8.01E-06,-1.20E-11
7529,-4.93E-05,1.26E-05,-3.10E-10
7530,6.53E-06,-1.22E-05,-3.99E-11
7531,1.71E-06,-1.99E-06,-1.71E-12
7532,-3.50E-06,5.02E-06,-8.80E-12
7533,-6.62E-06,-3.24E-05,1.07E-10
7534,2.90E-06,-8.37E-06,-1.21E-11
7535,7.92E-06,-6.08E-06,-2.41E-11
7536,1.21E-05,7.44E-07,4.51E-12
7537,-1.59E-05,3.58E-05,-2.84E-10
7538,-1.11E-05,1.88E-06,-1.04E-11
7539,-2.27E-05,-1.03E-05,1.17E-10
7540,1.56E-06,1.76E-05,1.37E-11
7541,2.11E-05,3.99E-06,4.21E-11
7542,-1.03E-05,-4.93E-06,2.53E-11
7543,2.16E-06,-5.39E-06,-5.82E-12
7544,-3.50E-06,2.05E-05,-3.59E-11
7545,2.72E-06,5.30E-06,7.21E-12
7546,-1.09E-05,1.44E-05,-7.84E-11
7547,-1.16E-05,1.14E-05,-6.60E-11
7548,2.68E-05,4.17E-05,5.58E-10
7549,3.31E-05,2.40E-05,3.97E-10
7550,6.89E-06,-1.53E-05,-5.28E-11
7551,-2.14E-05,1.65E-05,-1.77E-10
7552,-2.08E-05,5.70E-06,-5.94E-11
7553,8.20E-06,1.29E-05,5.29E-11
7554,3.42E-05,-6.14E-06,-1.05E-10
7555,2.71E-05,6.55E-06,8.86E-11
7556,-1.24E-05,1.96E-05,-1.22E-10
7557,5.83E-06,-3.88E-06,-1.13E-11
7558,5.91E-06,9.66E-06,2.86E-11
7559,2.92E-06,2.13E-06,3.10E-12
7560,9.01E-06,-2.91E-06,-1.31E-11
7561,2.44E-05,1.89E-05,2.31E-10
7562,8.55E-06,8.94E-06,3.82E-11
7563,2.39E-06,-1.64E-05,-1.97E-11
7564,2.85E-07,-8.22E-06,-1.17E-12
7565,5.09E-06,4.60E-06,1.17E-11
7566,1.52E-05,-5.75E-06,-4.38E-11
7567,2.08E-06,7.89E-06,8.21E-12
7568,9.36E-07,1.30E-05,6.10E-12
7569,-4.51E-06,-1.42E-05,3.21E-11
7570,-6.10E-06,1.71E-05,-5.21E-11
7571,8.55E-06,-4.44E-07,-1.90E-12
7572,9.31E-06,-9.81E-07,-4.56E-12
7573,1.86E-06,-1.01E-05,-9.38E-12
7574,4.63E-06,-1.07E-05,-2.48E-11
7575,5.05E-07,2.76E-05,6.97E-12
7576,-9.50E-07,2.75E-06,-1.30E-12
7577,-1.83E-05,2.09E-06,-1.91E-11
7578,-5.35E-06,6.75E-06,-1.81E-11
7579,1.07E-05,9.45E-06,5.03E-11
7580,-1.59E-05,-1.38E-05,1.10E-10
7581,9.32E-06,-1.03E-05,-4.82E-11
7582,2.17E-05,4.20E-06,4.56E-11
7583,-3.11E-05,5.72E-06,-8.90E-11
7584,6.09E-06,-1.11E-05,-3.37E-11
7585,2.40E-06,1.24E-06,1.48E-12
7586,-3.30E-06,1.44E-05,-2.38E-11
7587,-1.00E-05,1.34E-05,-6.70E-11
7588,1.21E-05,-1.32E-05,-7.93E-11
7589,3.30E-05,2.62E-05,4.33E-10
7590,2.26E-05,8.71E-06,9.83E-11
7591,-4.94E-06,1.13E-05,-2.79E-11
7592,1.24E-06,-1.47E-05,-9.08E-12
7593,-9.90E-06,-5.11E-06,2.53E-11
7594,1.75E-06,-5.28E-06,-4.63E-12
7595,-1.56E-06,1.09E-05,-8.52E-12
7596,-5.68E-06,-1.55E-05,4.41E-11
7597,-8.50E-08,9.19E-06,-3.91E-13
7598,-7.97E-06,-1.49E-05,5.96E-11
7599,-1.79E-05,-1.04E-05,9.30E-11
7600,1.61E-06,1.17E-05,9.41E-12
7601,2.04E-05,5.27E-06,5.38E-11
7602,7.39E-06,-1.63E-06,-6.04E-12
7603,-7.69E-06,1.68E-05,-6.48E-11
7604,-5.64E-06,-1.67E-05,4.70E-11
7605,1.20E-05,-3.77E-07,-2.26E-12
7606,2.71E-05,-5.61E-08,-7.59E-13
7607,-2.14E-05,-4.50E-07,4.81E-12
7608,-9.21E-06,-1.81E-05,8.34E-11
7609,2.09E-06,3.31E-07,3.45E-13
7610,1.13E-05,-1.17E-05,-6.63E-11
7611,4.26E-06,3.32E-05,7.07E-11
7612,2.84E-05,-1.08E-05,-1.54E-10
7613,1.96E-07,1.17E-05,1.15E-12
7614,4.99E-06,5.80E-06,1.45E-11
7615,-1.28E-05,-1.60E-05,1.02E-10
7616,4.49E-07,-5.22E-06,-1.17E-12
7617,1.23E-05,-1.49E-06,-9.17E-12
7618,3.59E-06,8.82E-06,1.58E-11
7619,6.76E-06,1.25E-05,4.22E-11
7620,3.04E-05,-1.42E-05,-2.15E-10
7621,-1.20E-05,-1.34E-05,8.01E-11
7622,-3.60E-06,1.73E-05,-3.11E-11
7623,7.99E-06,3.16E-05,1.26E-10
7624,1.75E-05,-2.23E-05,-1.94E-10
7625,-6.65E-06,-1.21E-05,4.02E-11
7626,-1.17E-05,2.04E-06,-1.19E-11
7627,9.30E-06,7.65E-06,3.55E-11
7628,1.34E-06,1.07E-05,7.20E-12
7629,-8.39E-06,5.39E-06,-2.26E-11
7630,1.12E-05,2.46E-05,1.38E-10
7631,9.77E-06,-5.56E-06,-2.71E-11
7632,5.65E-06,-3.61E-06,-1.02E-11
7633,-6.75E-07,8.68E-07,-2.93E-13
7634,-2.28E-06,-1.57E-05,1.80E-11
7635,8.27E-06,9.47E-06,3.92E-11
7636,1.31E-05,-4.18E-05,-2.73E-10
7637,-2.23E-05,1.08E-06,-1.21E-11
7638,5.83E-07,5.76E-06,1.68E-12
7639,4.45E-06,1.66E-05,3.69E-11
7640,1.70E-05,1.47E-05,1.25E-10
7641,1.58E-06,-2.77E-07,-2.20E-13
7642,1.71E-06,-5.70E-06,-4.88E-12
7643,4.03E-07,-3.60E-06,-7.24E-13
7644,-2.42E-06,-6.09E-07,7.38E-13
7645,5.29E-06,1.10E-05,2.90E-11
7646,-8.81E-06,6.90E-06,-3.04E-11
7647,3.63E-06,1.50E-05,2.72E-11
7648,-3.32E-06,-9.54E-07,1.59E-12
7649,-7.27E-06,1.65E-06,-5.99E-12
7650,-1.02E-05,4.60E-06,-2.34E-11
7651,4.69E-05,7.36E-06,1.73E-10
7652,1.15E-05,4.28E-06,2.46E-11
7653,7.70E-06,3.16E-06,1.22E-11
7654,-1.39E-05,1.62E-05,-1.13E-10
7655,2.47E-05,-4.23E-06,-5.22E-11
7656,1.29E-06,8.13E-06,5.26E-12
7657,-9.54E-06,-2.32E-05,1.10E-10
7658,2.33E-05,-2.68E-06,-3.12E-11
7659,2.36E-05,-1.69E-05,-2.00E-10
7660,-2.34E-05,-2.98E-05,3.48E-10
7661,8.12E-06,3.04E-06,1.24E-11
7662,2.41E-05,-2.32E-05,-2.79E-10
7663,-2.40E-05,-5.75E-06,6.90E-11
7664,-7.90E-06,6.06E-06,-2.39E-11
7665,3.48E-06,-2.49E-05,-4.34E-11
7666,3.63E-06,7.56E-06,1.37E-11
7667,2.85E-05,-3.45E-05,-4.92E-10
7668,5.27E-06,-6.11E-06,-1.61E-11
7669,1.36E-05,-9.68E-06,-6.60E-11
7670,-4.04E-05,3.03E-06,-6.12E-11
7671,-4.61E-06,-1.45E-06,3.35E-12
7672,5.40E-06,-2.44E-05,-6.59E-11
7673,1.38E-05,1.42E-05,9.81E-11
7674,-2.13E-05,-2.15E-05,2.30E-10
7675,-3.60E-06,6.88E-06,-1.24E-11
7676,-5.46E-06,-7.57E-06,2.07E-11
7677,3.58E-06,1.28E-05,2.29E-11
7678,8.03E-06,-1.01E-05,-4.05E-11
7679,1.10E-05,-1.74E-06,-9.59E-12
7680,2.32E-05,2.03E-05,2.36E-10
7681,-7.43E-07,-2.00E-05,7.43E-12
7682,-1.00E-06,-2.92E-07,1.46E-13
7683,-1.56E-06,-4.40E-06,3.44E-12
7684,-2.69E-06,2.53E-06,-3.40E-12
7685,6.71E-07,8.58E-06,2.88E-12
7686,-8.97E-06,-2.73E-06,1.23E-11
7687,-6.76E-06,-1.50E-05,5.07E-11
7688,5.04E-06,-8.83E-06,-2.22E-11
7689,-6.65E-06,-3.25E-06,1.08E-11
7690,-6.75E-06,-7.63E-06,2.57E-11
7691,-7.83E-06,1.08E-05,-4.22E-11
7692,-8.96E-06,-5.35E-06,2.40E-11
7693,3.70E-05,7.29E-06,1.35E-10
7694,-5.69E-06,1.21E-06,-3.43E-12
7695,-3.82E-05,1.23E-06,-2.35E-11
7696,-2.19E-05,-2.70E-06,2.96E-11
7697,-6.73E-06,-2.18E-06,7.34E-12
7698,8.08E-06,-4.77E-06,-1.93E-11
7699,6.11E-08,1.44E-05,4.40E-13
7700,5.13E-06,-8.82E-06,-2.26E-11
7701,1.07E-05,-2.37E-06,-1.27E-11
7702,-3.28E-05,-4.09E-06,6.71E-11
7703,-1.02E-05,-4.61E-06,2.36E-11
7704,1.15E-05,6.33E-06,3.65E-11
7705,2.57E-05,-2.86E-06,-3.68E-11
7706,-5.19E-06,-4.06E-06,1.05E-11
7707,-7.07E-06,-3.35E-06,1.19E-11
7708,-9.99E-06,-1.11E-05,5.54E-11
7709,2.41E-05,3.19E-07,3.84E-12
7710,-7.73E-06,9.62E-07,-3.72E-12
7711,3.43E-05,-1.15E-05,-1.97E-10
7712,-8.12E-07,1.15E-05,-4.69E-12
7713,2.75E-05,5.80E-06,7.99E-11
7714,-1.94E-06,9.14E-06,-8.87E-12
7715,-9.92E-06,2.72E-06,-1.35E-11
7716,5.44E-06,-4.61E-06,-1.25E-11
7717,3.84E-06,2.30E-05,4.42E-11
7718,-4.58E-05,-2.76E-06,6.32E-11
7719,-5.67E-06,-4.52E-06,1.28E-11
7720,-2.69E-06,1.36E-05,-1.83E-11
7721,1.82E-06,8.31E-06,7.55E-12
7722,4.18E-06,-1.70E-06,-3.54E-12
7723,1.41E-05,1.06E-05,7.46E-11
7724,-7.57E-06,1.40E-05,-5.30E-11
7725,-2.41E-05,9.26E-06,-1.11E-10
7726,-1.03E-05,3.26E-06,-1.69E-11
7727,5.02E-06,-9.57E-06,-2.40E-11
7728,2.78E-05,1.40E-05,1.95E-10
7729,1.43E-05,-8.90E-06,-6.36E-11
7730,-8.42E-06,2.96E-05,-1.25E-10
7731,-3.22E-05,-1.22E-05,1.96E-10
7732,-2.62E-05,-6.15E-06,8.04E-11
7733,1.02E-05,-1.93E-06,-9.85E-12
7734,4.50E-05,-1.08E-05,-2.42E-10
7735,4.68E-05,2.29E-05,5.37E-10
7736,-1.41E-05,-1.16E-05,8.17E-11
7737,8.16E-06,2.20E-06,8.99E-12
7738,-4.04E-05,1.80E-05,-3.64E-10
7739,-2.29E-05,4.94E-06,-5.67E-11
7740,-1.39E-05,-6.23E-06,4.33E-11
7741,-1.44E-05,-3.22E-06,2.31E-11
7742,6.06E-06,-6.12E-07,-1.86E-12
7743,-2.30E-06,-1.41E-05,1.62E-11
7744,-1.09E-05,-7.54E-06,4.12E-11
7745,-2.05E-05,-1.19E-05,1.22E-10
7746,9.19E-06,1.46E-05,6.70E-11
7747,-1.65E-05,-4.34E-05,3.59E-10
7748,-9.54E-06,4.99E-06,-2.38E-11
7749,1.60E-05,-9.15E-06,-7.32E-11
7750,1.01E-05,-2.11E-06,-1.06E-11
7751,-1.47E-06,-1.45E-05,1.07E-11
7752,-9.96E-06,-1.74E-06,8.65E-12
7753,-1.41E-06,-7.61E-07,5.38E-13
7754,-1.40E-05,-1.28E-05,8.95E-11
7755,2.02E-06,-3.71E-06,-3.75E-12
7756,3.04E-05,-7.88E-06,-1.20E-10
7757,-1.01E-05,-1.34E-06,6.74E-12
7758,-9.74E-06,2.30E-05,-1.12E-10
7759,-3.34E-05,5.10E-07,-8.53E-12
7760,1.09E-05,-2.82E-06,-1.53E-11
7761,-2.49E-05,5.97E-06,-7.44E-11
7762,7.88E-07,-1.64E-05,-6.48E-12
7763,1.95E-05,-8.03E-06,-7.81E-11
7764,-3.63E-05,1.03E-05,-1.87E-10
7765,-1.04E-06,-6.53E-07,3.39E-13
7766,4.95E-06,4.27E-06,1.06E-11
7767,1.20E-05,1.52E-05,9.11E-11
7768,-3.77E-06,4.10E-06,-7.73E-12
7769,9.01E-06,-2.02E-05,-9.11E-11
7770,-1.32E-06,1.39E-05,-9.17E-12
7771,-2.76E-06,-1.15E-05,1.59E-11
7772,-2.01E-06,-1.20E-05,1.20E-11
7773,-8.63E-06,-1.45E-05,6.26E-11
7774,-1.72E-05,1.24E-05,-1.07E-10
7775,2.14E-05,-1.83E-06,-1.96E-11
7776,-1.81E-05,-1.58E-05,1.43E-10
7777,-5.87E-06,2.06E-05,-6.04E-11
7778,-5.67E-06,-2.76E-06,7.82E-12
7779,2.22E-05,-8.87E-06,-9.82E-11
7780,8.99E-07,-1.15E-05,-5.15E-12
7781,-2.20E-05,-1.76E-05,1.93E-10
7782,-1.50E-05,8.33E-07,-6.24E-12
7783,-3.51E-05,1.60E-05,-2.80E-10
